"","x"
"x_1",0.274347260646063
"x_2",-0.0177434918458972
"x_3",-0.108925032737064
"x_4",-0.607783818968688
"x_5",-0.510191378479501
"x_6",-0.61306429934125
"x_7",-0.633592610907429
"x_8",-0.525696539001884
"x_9",-0.61498890978365
"x_10",-0.466732370523269
"x_11",-0.305180462546411
"x_12",-0.562229619850407
"x_13",0.525304172511095
"x_14",0.389536587321513
"x_15",0.598021923353949
"x_16",-0.552087115648893
"x_17",-0.825459670396252
"x_18",-0.902704282327838
"x_19",-0.854661759222973
"x_20",-0.689161821371472
"x_21",-0.643511768623583
"x_22",-0.640685815482928
"x_23",-0.100331848808134
"x_24",-0.128765122937701
"x_25",-0.157863394141636
"x_26",-0.118954333677729
"x_27",0.108573706261895
"x_28",-0.0356994169213299
"x_29",0.122000192842546
"x_30",-0.029676503537188
"x_31",0.0317237742172389
"x_32",0.155147508424199
"x_33",-0.0180767920878722
"x_34",0.00611033964754394
"x_35",0.0377291540841395
"x_36",0.034423733821314
"x_37",-0.0826692044542652
"x_38",-0.120308569497857
"x_39",-0.19774621582879
"x_40",0.102198864072034
"x_41",0.669226222373046
"x_42",0.00403879092060517
"x_43",0.0921508600211059
"x_44",-0.965207115039421
"x_45",-0.95440802665318
"x_46",-0.938900969424022
"x_47",-0.966017547593359
"x_48",-0.955361184463938
"x_49",-0.940206277312749
"x_50",0.609058202575891
"x_51",-0.0103216842233446
"x_52",0.0967393305199664
"x_53",0.683762046463103
"x_54",0.0166078634418512
"x_55",0.0793492718974707
"x_56",-0.0985870819600584
"x_57",0.446206727733547
"x_58",-0.721469908539694
"x_59",-0.763609232749742
"x_60",-0.968239871201476
"x_61",-0.958592816013108
"x_62",-0.944775940840858
"x_63",-0.674768951348029
"x_64",-0.866704392505228
"x_65",-0.669100243301527
"x_66",-0.504401651936594
"x_67",0.542886549905516
"x_68",-0.580674458607939
"x_69",0.617818193775729
"x_70",-0.343618301448707
"x_71",0.330183502639498
"x_72",-0.360744984572308
"x_73",0.408875435293201
"x_74",-0.428082912307475
"x_75",0.453367251514286
"x_76",-0.478049652346497
"x_77",0.499489809797114
"x_78",0.17568274446598
"x_79",-0.108287775463795
"x_80",0.0848488415988038
"x_81",0.0789381220355816
"x_82",0.0079481069090025
"x_83",-0.00467469823628666
"x_84",-0.63978102073413
"x_85",-0.607971599340832
"x_86",-0.762820240449202
"x_87",-0.636851832334041
"x_88",-0.594046436674004
"x_89",-0.756511705504896
"x_90",-0.699625727365398
"x_91",-0.747833595469583
"x_92",-0.818722317836936
"x_93",0.616034393890846
"x_94",0.684870159457075
"x_95",0.739588241708783
"x_96",-0.64699127583794
"x_97",-0.850337515970628
"x_98",-0.827254361855015
"x_99",-0.930710203190173
"x_100",-0.627489707225369
"x_101",-0.659832855678513
"x_102",-0.770833756877427
"x_103",-0.0826069359182658
"x_104",-0.0878825241379454
"x_105",-0.127330544548232
"x_106",-0.108572863267843
"x_107",0.169659030981525
"x_108",0.0676044397361048
"x_109",0.126467828047418
"x_110",-0.0727178062014458
"x_111",0.0686944741749914
"x_112",0.174527859893127
"x_113",0.3143158162243
"x_114",-0.0326917241350285
"x_115",0.0886842849822925
"x_116",-0.00103868688344055
"x_117",0.138471148717396
"x_118",-0.138122992805529
"x_119",0.00302530439893155
"x_120",0.0803171281290155
"x_121",-0.0309824871713436
"x_122",-0.0747194855994359
"x_123",0.088357304227173
"x_124",-0.721192598029789
"x_125",-0.682653506899942
"x_126",-0.653665674372188
"x_127",-0.726484836848539
"x_128",-0.694534110096304
"x_129",-0.667209748107764
"x_130",-0.64548527449658
"x_131",-0.737977312189729
"x_132",-0.484188693115124
"x_133",0.632263659095572
"x_134",0.734258066662152
"x_135",0.559247778213168
"x_136",-0.602748673125558
"x_137",-0.901636957062326
"x_138",-0.884235450188455
"x_139",-0.872984368242422
"x_140",-0.729225040963895
"x_141",-0.717202660698654
"x_142",-0.720239479300788
"x_143",-0.144916600805163
"x_144",-0.0992485937860931
"x_145",-0.0632542895391766
"x_146",-0.222861867348975
"x_147",0.147739198267393
"x_148",0.128497150520195
"x_149",-0.0803058186736978
"x_150",-0.204786157644309
"x_151",0.169678404244605
"x_152",-0.0424613426990677
"x_153",0.141698297542868
"x_154",-0.085098503172116
"x_155",0.0667301860927464
"x_156",-0.00792375249314584
"x_157",0.146419131220679
"x_158",-0.169335663346868
"x_159",0.0143461720708445
"x_160",-0.105693035967995
"x_161",-0.0967092754729682
"x_162",-0.0423181079782632
"x_163",-0.0548303497968374
"x_164",-0.731348533131935
"x_165",-0.786062320321895
"x_166",-0.739932395222129
"x_167",-0.730002664153494
"x_168",-0.796578518731355
"x_169",-0.746637006996126
"x_170",-0.747265427689844
"x_171",-0.809908325963061
"x_172",-0.742689151304914
"x_173",0.760591617745632
"x_174",0.83027549261874
"x_175",0.799424779207836
"x_176",-0.766813796605217
"x_177",-0.916934348894223
"x_178",-0.939545115888378
"x_179",-0.919501877565938
"x_180",-0.737540121153577
"x_181",-0.808763717176308
"x_182",-0.766349715087751
"x_183",-0.015190658579531
"x_184",0.0186689432880076
"x_185",-0.0151123062176901
"x_186",-0.072476393634415
"x_187",0.0409185929438137
"x_188",0.159666872922338
"x_189",0.164731000845581
"x_190",-0.162364494080083
"x_191",0.200174940317975
"x_192",0.0835283576270254
"x_193",0.0802492405843008
"x_194",-0.0286536933575332
"x_195",0.052383068816264
"x_196",0.0888026271256925
"x_197",0.0335305237509215
"x_198",0.036939291384175
"x_199",0.0492723572603522
"x_200",-0.113625269936235
"x_201",-0.54822165976717
"x_202",-0.591225327146546
"x_203",-0.642655227166232
"x_204",-0.558632605228031
"x_205",-0.837828098220041
"x_206",-0.54822165976717
"x_207",-0.777465766425847
"x_208",-0.702589578546208
"x_209",0.132813314452206
"x_210",-0.0695394969837687
"x_211",0.0240420207662277
"x_212",0.05858262032553
"x_213",-0.0578901254381161
"x_214",-0.54822165976717
"x_215",-0.591225327146546
"x_216",-0.642655227166232
"x_217",-0.558632605228031
"x_218",-0.837828098220041
"x_219",-0.54822165976717
"x_220",-0.777465766425847
"x_221",-0.702589578546208
"x_222",0.132813314452206
"x_223",-0.0695394969837687
"x_224",0.0240420207662277
"x_225",0.05858262032553
"x_226",-0.0578901254381161
"x_227",-0.649417950650692
"x_228",-0.627762945785391
"x_229",-0.646943532929861
"x_230",-0.638701760021827
"x_231",-0.787591449073425
"x_232",-0.649417950650692
"x_233",-0.851143395900557
"x_234",-0.69921697627519
"x_235",-0.0616317492433916
"x_236",0.0787587421124073
"x_237",-0.0290364285833284
