"","x"
"x_1",0.0676277962784943
"x_2",0.0371281663827435
"x_3",0.0530330859935597
"x_4",0.438693831339194
"x_5",0.500239766883052
"x_6",0.403656584651858
"x_7",0.413333018338302
"x_8",0.484200647735623
"x_9",0.399034058245509
"x_10",0.538706787937137
"x_11",0.279920275645106
"x_12",0.282990528345684
"x_13",0.35658895383491
"x_14",0.338844070101853
"x_15",0.290614654527968
"x_16",0.461374610489333
"x_17",0.247051818372546
"x_18",0.125987849568003
"x_19",0.205997502274485
"x_20",0.359208955275679
"x_21",0.368864626867882
"x_22",0.372065441972237
"x_23",0.462315492015796
"x_24",0.433687257153052
"x_25",0.368101697846064
"x_26",0.30772148256937
"x_27",0.247139818354679
"x_28",0.24782017417328
"x_29",0.232044067142965
"x_30",0.254461172108767
"x_31",0.213707644491184
"x_32",0.208718482461815
"x_33",0.22025683499872
"x_34",0.281721843867417
"x_35",0.215456028850331
"x_36",0.236854255066669
"x_37",0.230957461626828
"x_38",0.357676934489248
"x_39",0.325103253809755
"x_40",0.376048745505092
"x_41",0.515485780308741
"x_42",0.378909215421356
"x_43",0.334270168704641
"x_44",0.0777147960480108
"x_45",0.0852866205384834
"x_46",0.101554847657515
"x_47",0.0761984074973394
"x_48",0.0842337759905093
"x_49",0.100521377576158
"x_50",0.509003275335256
"x_51",0.366683488644674
"x_52",0.329611069144372
"x_53",0.507051553876899
"x_54",0.376404366728383
"x_55",0.336731410192899
"x_56",0.39194457685093
"x_57",0.696454611374246
"x_58",0.454408668282572
"x_59",0.424081696116968
"x_60",0.0717859944176486
"x_61",0.0806892568819021
"x_62",0.0960495894031246
"x_63",0.361048291089865
"x_64",0.281431008934707
"x_65",0.393154812472846
"x_66",0.216469557472953
"x_67",0.20979116415504
"x_68",0.207895539861647
"x_69",0.210734591739111
"x_70",0.293287453345593
"x_71",0.299026168408569
"x_72",0.291191538146509
"x_73",0.282566749250549
"x_74",0.268260437215381
"x_75",0.259414267706556
"x_76",0.25337848973178
"x_77",0.249913454913049
"x_78",0.696326676277864
"x_79",0.703940669950718
"x_80",0.701159247972398
"x_81",0.176112457141583
"x_82",0.164518387624882
"x_83",0.155978985687957
"x_84",0.408711816447501
"x_85",0.43288446111401
"x_86",0.277901388841564
"x_87",0.413603899753198
"x_88",0.446134739812249
"x_89",0.283632230305184
"x_90",0.359868403041266
"x_91",0.293669344905603
"x_92",0.223993152704084
"x_93",0.435520561878772
"x_94",0.359038828916912
"x_95",0.306461594197294
"x_96",0.39270939928907
"x_97",0.214780937496912
"x_98",0.243041127800684
"x_99",0.117932196316046
"x_100",0.429626690012962
"x_101",0.375057069629955
"x_102",0.266293778738553
"x_103",0.652665466225972
"x_104",0.632120056752987
"x_105",0.607460459802421
"x_106",0.303579770359896
"x_107",0.192419625461438
"x_108",0.24145294045136
"x_109",0.195963055005121
"x_110",0.268178318108628
"x_111",0.217858174917094
"x_112",0.237786650731578
"x_113",0.20253905841849
"x_114",0.27177459517809
"x_115",0.196581769342212
"x_116",0.224184075440338
"x_117",0.239589441773602
"x_118",0.257668984379244
"x_119",0.293081146512313
"x_120",0.277203281793459
"x_121",0.183186086288647
"x_122",0.134317132299449
"x_123",0.134875256324883
"x_124",0.301027072676107
"x_125",0.356884535690522
"x_126",0.372606080407907
"x_127",0.297645033607044
"x_128",0.344406999597297
"x_129",0.361793462833175
"x_130",0.276429784460986
"x_131",0.266151472447876
"x_132",0.303126283256269
"x_133",0.251194972497014
"x_134",0.211607523342656
"x_135",0.307942562626276
"x_136",0.402105789442166
"x_137",0.142692686110331
"x_138",0.190265776004035
"x_139",0.190199566846059
"x_140",0.30220092536194
"x_141",0.325276016579143
"x_142",0.316308804415312
"x_143",0.454511781080564
"x_144",0.370511763604176
"x_145",0.456048674677578
"x_146",0.276496091050377
"x_147",0.227004030736351
"x_148",0.229329741439315
"x_149",0.240801877363241
"x_150",0.208650205855494
"x_151",0.191658715040967
"x_152",0.228433080110184
"x_153",0.217287608124045
"x_154",0.312805142470109
"x_155",0.282266820145649
"x_156",0.267674531495816
"x_157",0.258314094052369
"x_158",0.382195177870201
"x_159",0.386478106522487
"x_160",0.417606009920807
"x_161",0.128134958190288
"x_162",0.114409175563585
"x_163",0.12889560784934
"x_164",0.303815898902629
"x_165",0.272715680791952
"x_166",0.301994176894438
"x_167",0.306559795984482
"x_168",0.257725623482464
"x_169",0.292927335711068
"x_170",0.290949057241249
"x_171",0.253273961093559
"x_172",0.305855850284076
"x_173",0.279510466890763
"x_174",0.227971626142811
"x_175",0.247887032678517
"x_176",0.269257703478079
"x_177",0.133008556965581
"x_178",0.132139714520881
"x_179",0.134139856450553
"x_180",0.30189996012633
"x_181",0.242247314207369
"x_182",0.271443866207107
"x_183",0.564853287457401
"x_184",0.544319919128172
"x_185",0.58073637326237
"x_186",0.250222388359969
"x_187",0.185707231792612
"x_188",0.211541497585018
"x_189",0.211124363592228
"x_190",0.21435487419394
"x_191",0.16705097916226
"x_192",0.19710565014392
"x_193",0.245042597818742
"x_194",0.3432261736239
"x_195",0.232346183628015
"x_196",0.246395517886876
"x_197",0.247741633044611
"x_198",0.276621839963699
"x_199",0.266925451540913
"x_200",0.259522039359
"x_201",0.467093741712107
"x_202",0.429431345143224
"x_203",0.374670154679935
"x_204",0.461239470509056
"x_205",0.190264485082627
"x_206",0.467093741712107
"x_207",0.280319315848312
"x_208",0.314228061627684
"x_209",0.669369329035053
"x_210",0.290437140089988
"x_211",0.234723767961185
"x_212",0.253225342133015
"x_213",0.263116394394965
"x_214",0.467093741712107
"x_215",0.429431345143224
"x_216",0.374670154679935
"x_217",0.461239470509056
"x_218",0.190264485082627
"x_219",0.467093741712107
"x_220",0.280319315848312
"x_221",0.314228061627684
"x_222",0.669369329035053
"x_223",0.290437140089988
"x_224",0.234723767961185
"x_225",0.253225342133015
"x_226",0.263116394394965
"x_227",0.389494205866934
"x_228",0.41722133114306
"x_229",0.397542367567997
"x_230",0.403500090985516
"x_231",0.255703265065146
"x_232",0.389494205866934
"x_233",0.205787700477637
"x_234",0.34308333832944
"x_235",0.7239171315296
"x_236",0.243614836418721
"x_237",0.244578662918016
"x_238",0.240887779922534
"x_239",0.259900232474336
"x_240",0.399709556285823
"x_241",0.349224601712275
"x_242",0.381097604567272
"x_243",0.318988506908617
"x_244",0.312645474311408
"x_245",0.399709556285823
"x_246",0.220879983833568
"x_247",0.359986445987273
"x_248",0.481818402119967
"x_249",0.297265770100673
"x_250",0.26685852475057
"x_251",0.251525373304158
"x_252",0.250833164614575
"x_253",0.276514503019
"x_254",0.271590190956826
"x_255",0.250703428717846
"x_256",0.26789628467638
"x_257",0.247797541995129
"x_258",0.276514503019
"x_259",0.121024928301067
"x_260",0.23134834742446
"x_261",0.69243555001149
"x_262",0.239628689635589
"x_263",0.209169775053572
"x_264",0.2286080031675
"x_265",0.250721420188767
"x_266",0.420794621128506
"x_267",0.481681850416162
"x_268",0.358853083334195
"x_269",0.446792819087921
"x_270",0.479924986365809
"x_271",0.398973184544622
"x_272",0.457337669712656
"x_273",0.496560951901915
"x_274",0.389521715735304
"x_275",0.405419287323588
"x_276",0.353696003322966
"x_277",0.389762184679926
"x_278",0.227079686856958
"x_279",0.179749718000523
"x_280",0.129492746443668
"x_281",0.471733762538129
"x_282",0.246980411760048
"x_283",0.313578753739048
"x_284",0.226483946924008
"x_285",0.399048161548694
"x_286",0.391039311909653
"x_287",0.290376691529323
"x_288",0.722956285792099
"x_289",0.666176279253215
"x_290",0.611046615844168
"x_291",0.265433351778418
"x_292",0.242632780780214
"x_293",0.239720774286384
"x_294",0.26458578361303
"x_295",0.240846041776942
"x_296",0.283784833517026
"x_297",0.400580462118842
"x_298",0.440957159611545
"x_299",0.356135668734044
"x_300",0.385358607024831
"x_301",0.401418653141027
"x_302",0.411509518646186
"x_303",0.268049244635717
"x_304",0.175574546490452
"x_305",0.22595659316272
"x_306",0.182374943556856
"x_307",0.141754856477116
"x_308",0.149452424812787
"x_309",0.102352025955512
"x_310",0.117410503838339
"x_311",0.256918197777235
"x_312",0.239033840793416
"x_313",0.139667995517364
"x_314",0.103752222057419
"x_315",0.249922838370191
"x_316",0.18954740456241
"x_317",0.274178685867271
"x_318",0.238813413300957
"x_319",0.219065930015435
"x_320",0.164341036307951
"x_321",0.172672984033912
"x_322",0.188237923526611
"x_323",0.169896071522117
"x_324",0.13103197497212
"x_325",0.308334004678804
"x_326",0.250317585417165
"x_327",0.190630748271994
"x_328",0.151736876386971
"x_329",0.310965222381449
"x_330",0.173615836096987
"x_331",0.215748031314188
"x_332",0.174639068481919
"x_333",0.14404687855254
"x_334",0.0803364672488173
"x_335",0.076903193326432
"x_336",0.117720784383582
"x_337",0.110637406236543
"x_338",0.115216812662224
"x_339",0.21224469908759
"x_340",0.115957814265742
"x_341",0.0896102432927307
"x_342",0.106678350264701
"x_343",0.222605242699118
"x_344",0.0804755822139265
"x_345",0.389994623739824
"x_346",0.407300107685122
"x_347",0.297708213609458
"x_348",0.393291807713421
"x_349",0.433524948432751
"x_350",0.259543592492186
"x_351",0.459876681184327
"x_352",0.417987786054582
"x_353",0.276595859686707
"x_354",0.33839151424544
"x_355",0.364272710188163
"x_356",0.24323758161474
"x_357",0.186986004991425
"x_358",0.213510827826676
"x_359",0.178537995797941
"x_360",0.421120867227454
"x_361",0.215064757588632
"x_362",0.242949051905427
"x_363",0.117907135682107
"x_364",0.422059257571598
"x_365",0.312254345464676
"x_366",0.266964477046026
"x_367",0.749480051999786
"x_368",0.734307330277739
"x_369",0.638714670479462
"x_370",0.321560408826187
"x_371",0.26538615069277
"x_372",0.293475980123875
"x_373",0.295541570708683
"x_374",0.272186281568714
"x_375",0.273353750555325
"x_376",0.256424716506151
"x_377",0.209276176460826
"x_378",0.187970292590387
"x_379",0.140864045918551
"x_380",0.198982496230555
"x_381",0.150041336233416
"x_382",0.210159728411967
"x_383",0.173441850115206
"x_384",0.203859625365095
"x_385",0.179703936239465
"x_386",0.132048068737038
"x_387",0.16386748098724
"x_388",0.100975670348718
"x_389",0.053589232441562
"x_390",0.193510476008809
"x_391",0.229737319603009
"x_392",0.149855370434001
"x_393",0.104611518870946
"x_394",0.219708658663897
"x_395",0.223505755197464
"x_396",0.235633271098475
"x_397",0.206656029104265
"x_398",0.256768369805505
"x_399",0.156802776108176
"x_400",0.143971845567544
"x_401",0.198954153710434
"x_402",0.129201377171905
"x_403",0.0906650015170386
"x_404",0.232146250342395
"x_405",0.250295458528637
"x_406",0.193081212276652
"x_407",0.118941819877
"x_408",0.265377631323359
"x_409",0.165431499602026
"x_410",0.165459796380376
